textgrid_gretil_item_id,title,author,collection,work_uri,edition_uri,text_uri,handle_pid,license_url,license_statement,rights_holder,rights_lane,agent_can_index_now,source_url,next_action
TG-GRE-0607,Sūtrārthasamuccayopadeśa,Dīpaṃkaraśrījñāna [= Atīśa],Darśana Collection,textgrid:49n76.0,textgrid:49n78.0,textgrid:49n77.0,handle:hdl:21.11113/0000-0016-CEEA-9,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n78.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0608,Śaraṇagamanadeśanā,Dīpaṃkaraśrījñāna [= Atīśa],Darśana Collection,textgrid:49n79.0,textgrid:49n7c.0,textgrid:49n7b.0,handle:hdl:21.11113/0000-0016-CEED-6,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n7c.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0609,Sukhāvatīvyūha,,Darśana Collection,textgrid:49n7d.0,textgrid:49n7g.0,textgrid:49n7f.0,handle:hdl:21.11113/0000-0016-CEF0-1,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n7g.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0610,"Sukhāvatīvyūha, vistaramātṛkā",,Darśana Collection,textgrid:49n7h.0,textgrid:49n7k.0,textgrid:49n7j.0,handle:hdl:21.11113/0000-0016-CEF3-E,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n7k.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0611,"Vinayasūtra 1, pravrajyāvastu",,Darśana Collection,textgrid:49n7m.0,textgrid:49n7p.0,textgrid:49n7n.0,handle:hdl:21.11113/0000-0016-CEF6-B,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n7p.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0612,Sumāgadhāvadāna,,Darśana Collection,textgrid:49n7q.0,textgrid:49n7s.0,textgrid:49n7r.0,handle:hdl:21.11113/0000-0016-CEF9-8,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n7s.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0613,Ekādaśamukha,,Darśana Collection,textgrid:49n7t.0,textgrid:49n7w.0,textgrid:49n7v.0,handle:hdl:21.11113/0000-0016-CEFC-5,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n7w.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0614,Ekādaśamukhahṛdaya,,Darśana Collection,textgrid:49n7x.0,textgrid:49n80.0,textgrid:49n7z.0,handle:hdl:21.11113/0000-0016-CEFF-2,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n80.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0615,Haṭhayogapradīpikā,Svātmārāma,Darśana Collection,textgrid:49n81.0,textgrid:49n83.0,textgrid:49n82.0,handle:hdl:21.11113/0000-0016-CF02-D,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n83.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0616,Tarkabhāṣā,,Darśana Collection,textgrid:49n84.0,textgrid:49n86.0,textgrid:49n85.0,handle:hdl:21.11113/0000-0016-CF05-A,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n86.0,Keep restricted; obtain permission or exclude from public/commercial use.
