carrier_id,textgrid_gretil_item_id,textgrid_uri,handle_pid,format,repository_extent,repository_digest_algorithm,repository_md5,relative_path,acquired,local_bytes,sha256,local_md5,repository_md5_match,xml_well_formed,tei_root,tei_xml_id,tei_license_urls,download_error
TG-GRE-C-0297,TG-GRE-0297,textgrid:49m44.0,handle:hdl:21.11113/0000-0016-CB45-6,TEI_XML,164134,md5,a48c768dd9caffef38de0d57f44f10f5,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m44_0.xml,True,164134,a98026d726a632c172c7e72f6d69467c1bda1a1979387a4dd3a4ffee6d2d6435,a48c768dd9caffef38de0d57f44f10f5,True,True,TEI,sa_jagannAthapaNDitarAja-rasagaGgAdhara-1,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0298,TG-GRE-0298,textgrid:49m47.0,handle:hdl:21.11113/0000-0016-CB48-3,TEI_XML,69286,md5,f2f931afe5be577ea17f322b8597e71c,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m47_0.xml,True,69286,50494b572c858b37a92f469bcec04572855ca5d67b8380eff685b40b4e1f2c38,f2f931afe5be577ea17f322b8597e71c,True,True,TEI,sa_jalhaNa-mugdhopadeza,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0299,TG-GRE-0299,textgrid:49m4b.0,handle:hdl:21.11113/0000-0016-CB4B-0,TEI_XML,94094,md5,17c004533085f9911ce4b7684d98a49b,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m4b_0.xml,True,94094,67d5829ac11fc261bb72c547dc12b4b913d7d114a8bb5faa3f0d937f447cb48b,17c004533085f9911ce4b7684d98a49b,True,True,TEI,sa_jayadeva-candrAloka,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0300,TG-GRE-0300,textgrid:49m4f.0,handle:hdl:21.11113/0000-0016-CB4E-D,TEI_XML,79733,md5,cf8019c8ea32185c4d39615af53a8f3d,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m4f_0.xml,True,79733,a12c5798c2fee5c9bbb3607e549ce96fb96807dde4399ad2715c4abd4e7de89d,cf8019c8ea32185c4d39615af53a8f3d,True,True,TEI,sa_jayadeva-gItagovinda-alt,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0301,TG-GRE-0301,textgrid:49m4j.0,handle:hdl:21.11113/0000-0016-CB51-8,TEI_XML,90408,md5,f7700a8ea95c2f675d4dec398050f4da,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m4j_0.xml,True,90408,356bc411437f8e2a3f755a95c5e294e0f8c7ce72d8561d9a95aeb182d1d42b34,f7700a8ea95c2f675d4dec398050f4da,True,True,TEI,sa_jayadeva-gItagovinda,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0302,TG-GRE-0302,textgrid:49m4n.0,handle:hdl:21.11113/0000-0016-CB54-5,TEI_XML,1194321,md5,d6ad4ab8f779b7051969b055b3d9c369,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m4n_0.xml,True,1194321,38dd9098c8067ea6f023902cb52dcb0f5f3b25a926889c760c3b7c1a000dd34a,d6ad4ab8f779b7051969b055b3d9c369,True,True,TEI,sa_jIvagosvAmin-gopAlacampUp1-33u1-3u5-6u29,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0303,TG-GRE-0303,textgrid:49m4r.0,handle:hdl:21.11113/0000-0016-CB57-2,TEI_XML,147251,md5,8da5d95d544cecba563af195fe200bac,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m4r_0.xml,True,147251,b18dce165548096d0b7706d380186de3f569d0c865e51f38267bf3d1ceaeb28f,8da5d95d544cecba563af195fe200bac,True,True,TEI,sa_jIvagosvAmin-saMkalpakalpadruma,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0304,TG-GRE-0304,textgrid:49m4v.0,handle:hdl:21.11113/0000-0016-CB5A-F,TEI_XML,66850,md5,70b2a77d66d154d65d79e7748f6e2a8e,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m4v_0.xml,True,66850,3c652563ad428a08096ad5ef05be37e86bad2ceab671b5b4a8ac995303fabc23,70b2a77d66d154d65d79e7748f6e2a8e,True,True,TEI,sa_jJAnazrImitra-vRttamAlAstuti,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0305,TG-GRE-0305,textgrid:49m4z.0,handle:hdl:21.11113/0000-0016-CB5D-C,TEI_XML,233924,md5,281c7bba5fedd6a033274da936222782,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m4z_0.xml,True,233924,2887dfb49ae1f9083e0d1eecc112daed8ee7ec9c84bbdaa4e84db276057274f6,281c7bba5fedd6a033274da936222782,True,True,TEI,sa_jonarAja-and-pseudo-jonarAja-rAjataraGginI,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0306,TG-GRE-0306,textgrid:49m52.0,handle:hdl:21.11113/0000-0016-CB60-7,TEI_XML,398626,md5,acbb73eea438c6720af4eaac2a87f342,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m52_0.xml,True,398626,9e27ed3d159bbda90c5fd039aeb4404a6c741e45fd6cbc7f1fc68329a18318b2,acbb73eea438c6720af4eaac2a87f342,True,True,TEI,sa_kAlidAsa-abhijJAnazakuntala,https://creativecommons.org/licenses/by-nc-sa/4.0/,
